plasma_source,material,nozzle,gauge,thickness,cut_height,pierce_height,pierce_delay,current,feed,volts,kerf_width,metric,quality,
Powermax 45 XP,Mild Steel,FineCut,3 mm,,0.06,0.15,0.5,45,108.2677165,83,0.051181102,1,Production,
Powermax 45 XP,Mild Steel,FineCut,4 mm,,0.06,0.15,0.6,45,74.80314961,84,0.051181102,1,Production,
Powermax 45 XP,Mild Steel,Standard,16 GA,0.0598,0.06,0.15,0.1,45,320,125,0.053,0,Production,
Powermax 45 XP,Mild Steel,Standard,14 GA,0.0747,0.06,0.15,0.2,45,320,125,0.054,0,Production,
Powermax 45 XP,Mild Steel,Standard,10 GA,0.1345,0.06,0.15,0.4,45,181,128,0.057,0,Production,
Powermax 45 XP,Mild Steel,Standard,"3/16""",,0.06,0.15,0.5,45,122,127,0.059,0,Production,
Powermax 45 XP,Mild Steel,Standard,"1/4""",,0.06,0.15,0.6,45,72,127,0.061,0,Production,
Powermax 45 XP,Mild Steel,Standard,"3/8""",,0.06,0.15,0.8,45,38,133,0.069,0,Production,
Powermax 45 XP,Mild Steel,Standard,"1/2""",,0.06,0.15,1,45,24,139,0.077,0,Production,
Powermax 45 XP,Mild Steel,Standard,"5/8""",,0.06,0,0,45,16,141,0.082,0,Production,
Powermax 45 XP,Mild Steel,Standard,"3/4""",,0.06,0,0,45,10,145,0.086,0,Production,
Powermax 45 XP,Mild Steel,Standard,"7/8""",,0.06,0,0,45,8,151,0.103,0,Production,
Powermax 45 XP,Mild Steel,Standard,"1""",,0.06,0,0,45,6,154,0.119,0,Production,
Powermax 45 XP,Stainless Steel,Standard,16 GA,0.0625,0.06,0.15,0.1,45,320,128,0.017,0,Production,
Powermax 45 XP,Stainless Steel,Standard,14 GA,0.7812,0.06,0.15,0.2,45,320,129,0.022,0,Production,
Powermax 45 XP,Stainless Steel,Standard,10 GA,0.14062,0.06,0.15,0.4,45,134,128,0.041,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"3/16""",,0.06,0.15,0.5,45,93,130,0.044,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"1/4""",,0.06,0.15,0.6,45,59,131,0.047,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"3/8""",,0.06,0.15,0.8,45,29,136,0.061,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"1/2""",,0.06,0.18,1.2,45,19,140,0.075,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"5/8""",,0.06,0,0,45,13,142,0.096,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"3/4""",,0.06,0,0,45,9,145,0.116,0,Production,
Powermax 45 XP,Stainless Steel,Standard,"7/8""",,0.06,0,0,45,6,149,0.137,0,Production,
Powermax 45 XP,Aluminum,Standard,1/10,,0.06,0.15,0.2,45,320,131,0.056,0,Production,
Powermax 45 XP,Aluminum,Standard,1/8,,0.06,0.15,0.4,45,263,128,0.06,0,Production,
Powermax 45 XP,Aluminum,Standard,3/16,,0.06,0.15,0.4,45,184,130,0.061,0,Production,
Powermax 45 XP,Aluminum,Standard,1/4,,0.06,0.15,0.5,45,104,132,0.063,0,Production,
Powermax 45 XP,Aluminum,Standard,3/8,,0.06,0.15,0.7,45,42,139,0.073,0,Production,
Powermax 45 XP,Aluminum,Standard,1/2,,0.06,0,0,45,26,143,0.082,0,Production,
Powermax 45 XP,Aluminum,Standard,5/8,,0.06,0,0,45,14,148,0.1,0,Production,
Powermax 45 XP,Aluminum,Standard,3/4,,0.06,0,0,45,9,153,0.117,0,Production,
Powermax 45 XP,Mild Steel,FineCut,26 GA,0.0179,0.06,0.15,0,40,325,78,0.025,0,Production,
Powermax 45 XP,Mild Steel,FineCut,24 GA,0.0239,0.06,0.15,0,40,325,78,0.029,0,Production,
Powermax 45 XP,Mild Steel,FineCut,22 GA,0.0299,0.06,0.15,0.1,40,325,78,0.024,0,Production,
Powermax 45 XP,Mild Steel,FineCut,20 GA,0.0359,0.06,0.15,0.1,40,325,78,0.02,0,Production,
Powermax 45 XP,Mild Steel,FineCut,18 GA,0.0478,0.06,0.15,0.2,45,325,78,0.043,0,Production,
Powermax 45 XP,Mild Steel,FineCut,16 GA,0.0598,0.06,0.15,0.4,45,250,78,0.046,0,Production,
Powermax 45 XP,Mild Steel,FineCut,14 GA,0.0747,0.06,0.15,0.4,45,200,78,0.049,0,Production,
Powermax 45 XP,Mild Steel,FineCut,12 GA,0.1046,0.06,0.15,0.5,45,120,78,0.052,0,Production,
Powermax 45 XP,Mild Steel,FineCut,10 GA,0.1345,0.06,0.15,0.5,45,95,78,0.051,0,Production,
Powermax 45 XP,Mild Steel,Standard,2 mm,,0.06,0.15,0.2,45,218.8976378,128,0.05511811,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,3 mm,,0.06,0.15,0.2,45,155.9055118,128,0.05511811,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,4 mm,,0.06,0.15,0.4,45,110.2362205,128,0.059055118,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,6 mm,,0.06,0.15,0.6,45,56.2992126,130,0.059055118,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,8 mm,,0.06,0.15,0.6,45,40.15748031,133,0.066929134,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,10 mm,,0.06,0.15,0.8,45,30.70866142,136,0.070866142,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,12 mm,,0.06,0.15,1,45,21.25984252,140,0.07480315,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,16 mm,,0.06,0,0,45,12.20472441,146,0.082677165,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,20 mm,,0.06,0,0,45,6.692913386,152,0.090551181,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,25 mm,,0.06,0,0,45,4.330708661,157,0.118110236,1,High Quality,
Powermax 45 XP,Mild Steel,Standard,2 mm,,0.06,0.15,0.2,45,311.4173228,125,0.05511811,1,Production,
Powermax 45 XP,Mild Steel,Standard,3 mm,,0.06,0.15,0.2,45,220.0787402,127,0.05511811,1,Production,
Powermax 45 XP,Mild Steel,Standard,4 mm,,0.06,0.15,0.4,45,155.9055118,128,0.059055118,1,Production,
Powermax 45 XP,Mild Steel,Standard,6 mm,,0.06,0.15,0.6,45,83.07086614,127,0.059055118,1,Production,
Powermax 45 XP,Mild Steel,Standard,8 mm,,0.06,0.15,0.6,45,54.52755906,130,0.066929134,1,Production,
Powermax 45 XP,Mild Steel,Standard,10 mm,,0.06,0.15,0.8,45,36.22047244,134,0.070866142,1,Production,
Powermax 45 XP,Mild Steel,Standard,12 mm,,0.06,0.15,1,45,27.16535433,138,0.07480315,1,Production,
Powermax 45 XP,Mild Steel,Standard,16 mm,,0.06,0,0,45,15.7480315,141,0.082677165,1,Production,
Powermax 45 XP,Mild Steel,Standard,20 mm,,0.06,0,0,45,9.448818898,147,0.090551181,1,Production,
Powermax 45 XP,Mild Steel,Standard,25 mm,,0.06,0,0,45,5.708661417,154,0.118110236,1,Production,
Powermax 65,Mild Steel,Standard,10 GA,0.1345,0.06,0.15,0.1,65,190,125,0.057,0,High Quality,
Powermax 65,Mild Steel,Standard,"3/16""",,0.06,0.15,0.2,65,140,126,0.059,0,High Quality,
Powermax 65,Mild Steel,Standard,"1/4""",,0.06,0.15,0.5,65,90,127,0.061,0,High Quality,
Powermax 65,Mild Steel,Standard,"3/8""",,0.06,0.15,0.7,65,45,130,0.069,0,High Quality,
Powermax 65,Mild Steel,Standard,"1/2""",,0.06,0.18,1.2,65,30,135,0.077,0,High Quality,
Powermax 65,Mild Steel,Standard,"5/8""",,0.06,0.24,2,65,23,138,0.082,0,High Quality,
Powermax 65,Mild Steel,Standard,"3/4""",,0.06,0,0,65,15,141,0.086,0,High Quality,
Powermax 65,Mild Steel,Standard,"7/8""",,0.06,0,0,65,12,143,0.103,0,High Quality,
Powermax 65,Mild Steel,Standard,"1""",,0.06,0,0,65,8,145,0.119,0,High Quality,
Powermax 65,Mild Steel,Standard,10 GA,0.1345,0.06,0.15,0.1,65,224,123,0.057,0,Production,
Powermax 65,Mild Steel,Standard,"3/16""",,0.06,0.15,0.2,65,168,125,0.059,0,Production,
Powermax 65,Mild Steel,Standard,"1/4""",,0.06,0.15,0.5,65,116,127,0.061,0,Production,
Powermax 65,Mild Steel,Standard,"3/8""",,0.06,0.15,0.7,65,62,129,0.069,0,Production,
Powermax 65,Mild Steel,Standard,"1/2""",,0.06,0.18,1.2,65,40,132,0.077,0,Production,
Powermax 65,Mild Steel,Standard,"5/8""",,0.06,0.24,2,65,26,136,0.082,0,Production,
Powermax 65,Mild Steel,Standard,"3/4""",,0.06,0,0,65,19,141,0.086,0,Production,
Powermax 65,Mild Steel,Standard,"7/8""",,0.06,0,0,65,14,143,0.103,0,Production,
Powermax 65,Mild Steel,Standard,"1""",,0.06,0,0,65,10,145,0.119,0,Production,
