plasma_source,material,nozzle,thickness,gauge,cut_height,pierce_height,pierce_delay,current,feed,volts,kerf_width,metric,quality
Powermax 65,Mild Steel,Standard,,12 mm,0.06,0.177165,1.2,65,44.88189,131,0.07480315,1,Production
Powermax 65,Mild Steel,Standard,,16 mm,0.06,0.23622,2,65,25.5906,136,0.082677165,1,Production
Powermax 65,Mild Steel,Standard,,20 mm,0.06,0,0,65,17.7165,142,0.090551181,1,Production
Powermax 65,Mild Steel,Standard,,25 mm,0.06,0,0,65,10.6299,145,0.118110236,1,Production
Powermax 65,Mild Steel,Standard,,3 mm,0.06,0.149606,0.2,65,204.7244094,125,0.05511811,1,High Quality
Powermax 65,Mild Steel,Standard,,4 mm,0.06,0.149606,0.5,65,167.3228346,125,0.059055118,1,High Quality
Powermax 65,Mild Steel,Standard,,6 mm,0.06,0.149606,0.5,65,100.3937008,127,0.059055118,1,High Quality
Powermax 65,Mild Steel,Standard,,8 mm,0.06,0.149606,0.5,65,66.92913386,129,0.066929134,1,High Quality
Powermax 65,Mild Steel,Standard,,10 mm,0.06,0.177165,0.7,65,43.30708661,131,0.070866142,1,High Quality
Powermax 65,Mild Steel,Standard,,12 mm,0.06,0.177165,1.2,65,33.46456693,134,0.07480315,1,High Quality
Powermax 65,Mild Steel,Standard,,16 mm,0.06,0.23622,2,65,22.04724409,138,0.082677165,1,High Quality
Powermax 65,Mild Steel,Standard,,20 mm,0.06,0,0,65,13.77952756,142,0.090551181,1,High Quality
Powermax 65,Mild Steel,Standard,,25 mm,0.06,0,0,65,8.267716535,145,0.118110236,1,High Quality
Powermax 65,Mild Steel,FineCut,0.0179,26 GA,0.06,0.15,0,40,325,78,0.026,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0239,24 GA,0.06,0.15,0,40,325,78,0.024,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0239,22 GA,0.06,0.15,0.1,40,325,78,0.025,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0359,20 GA,0.06,0.15,0.1,40,325,78,0.025,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0478,18 GA,0.06,0.15,0.2,45,325,78,0.031,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0598,16 GA,0.06,0.15,0.4,45,250,78,0.029,0,High Quality
Powermax 65,Mild Steel,FineCut,0.0747,14 GA,0.06,0.15,0.4,45,200,78,0.027,0,High Quality
Powermax 65,Mild Steel,FineCut,0.1046,12 GA,0.06,0.15,0.5,45,120,78,0.052,0,High Quality
Powermax 65,Mild Steel,FineCut,0.1345,10 GA,0.06,0.15,0.5,45,95,78,0.051,0,High Quality
Powermax 65,Mild Steel,FineCut,,0.5 mm,0.06,0.15,0,40,324.8031496,78,0.023622047,1,High Quality
Powermax 65,Mild Steel,FineCut,,0.6 mm,0.06,0.15,0,40,324.8031496,78,0.023622047,1,High Quality
Powermax 65,Mild Steel,FineCut,,0.8 mm,0.06,0.15,0.1,40,324.8031496,78,0.023622047,1,High Quality
Powermax 65,Mild Steel,FineCut,,1 mm,0.06,0.15,0.2,45,324.8031496,78,0.031496063,1,High Quality
Powermax 65,Mild Steel,FineCut,,1.5 mm,0.06,0.15,0.4,45,251.9685039,78,0.031496063,1,High Quality
Powermax 65,Mild Steel,FineCut,,2 mm,0.06,0.15,0.4,45,188.976378,78,0.027559055,1,High Quality
Powermax 65,Mild Steel,FineCut,,3 mm,0.06,0.15,0.5,45,98.42519685,78,0.051181102,1,High Quality
Powermax 65,Mild Steel,FineCut,,4 mm,0.06,0.15,0.6,45,74.80314961,78,0.059055118,1,High Quality
Powermax 65,Aluminum,Standard,,1/16”,0.06,0.15,0.1,65,365,121,0.06,0,High Quality
Powermax 65,Aluminum,Standard,,1/8”,0.06,0.15,0.1,65,280,124,0.061,0,High Quality
Powermax 65,Aluminum,Standard,,1/4”,0.06,0.15,0.5,65,105,131,0.063,0,High Quality
Powermax 65,Aluminum,Standard,,3/8”,0.06,0.15,0.7,65,50,135,0.073,0,High Quality
Powermax 65,Aluminum,Standard,,1/2”,0.06,0.18,1.2,65,35,139,0.082,0,High Quality
Powermax 65,Aluminum,Standard,,5/8”,0.06,0,0,65,26,143,0.1,0,High Quality
Powermax 65,Aluminum,Standard,,3/4”,0.06,0,0,65,16,146,0.117,0,High Quality
Powermax 65,Aluminum,Standard,,1/16”,0.06,0.15,0.1,65,428,121,0.06,0,Production
Powermax 65,Aluminum,Standard,,1/8”,0.06,0.15,0.1,65,336,124,0.061,0,Production
Powermax 65,Aluminum,Standard,,1/4”,0.06,0.15,0.5,65,152,128,0.063,0,Production
Powermax 65,Aluminum,Standard,,3/8”,0.06,0.15,0.7,65,68,131,0.073,0,Production
Powermax 65,Aluminum,Standard,,1/2”,0.06,0.18,1.2,65,48,138,0.082,0,Production
Powermax 65,Aluminum,Standard,,5/8”,0.06,0,0,65,32,141,0.1,0,Production
Powermax 65,Aluminum,Standard,,3/4”,0.06,0,0,65,24,144,0.117,0,Production
Powermax 65,Aluminum,Standard,,2 mm,0.06,0.15,0.1,65,346.4566929,121,0.051181102,1,High Quality
Powermax 65,Aluminum,Standard,,3 mm,0.06,0.15,0.2,65,291.3385827,124,0.059055118,1,High Quality
